Sport,Date,Season,Home_Team,Away_Team,Home_Team_Score,Away_Team_Score,Winner,Home_Team_Won,Attendance,During_COVID
Basketball,10/27/2009,2010,Cleveland Cavaliers,Boston Celtics,89,95,Away,0,20562,0
Basketball,10/27/2009,2010,Dallas Mavericks,Washington Wizards,91,102,Away,0,19994,0
Basketball,10/27/2009,2010,Portland Trail Blazers,Houston Rockets,96,87,Home,1,20497,0
Basketball,10/27/2009,2010,Los Angeles Lakers,Los Angeles Clippers,99,92,Home,1,18997,0
Basketball,10/28/2009,2010,Atlanta Hawks,Indiana Pacers,120,109,Home,1,16546,0
Basketball,10/28/2009,2010,Toronto Raptors,Cleveland Cavaliers,101,91,Home,1,17897,0
Basketball,10/28/2009,2010,Orlando Magic,Philadelphia 76ers,120,106,Home,1,17461,0
Basketball,10/28/2009,2010,Boston Celtics,Charlotte Hornets,92,59,Home,1,18624,0
Basketball,10/28/2009,2010,Miami Heat,New York Knicks,115,93,Home,1,17730,0
Basketball,10/28/2009,2010,Oklahoma City Thunder,Sacramento Kings,102,89,Home,1,18004,0
Basketball,10/28/2009,2010,San Antonio Spurs,New Orleans Pelicans,113,96,Home,1,18090,0
Basketball,10/28/2009,2010,Minnesota Timberwolves,Brooklyn Nets,95,93,Home,1,15102,0
Basketball,10/28/2009,2010,Memphis Grizzlies,Detroit Pistons,74,96,Away,0,13486,0
Basketball,10/28/2009,2010,Los Angeles Clippers,Phoenix Suns,107,109,Away,0,16343,0
Basketball,10/28/2009,2010,Golden State Warriors,Houston Rockets,107,108,Away,0,18027,0
Basketball,10/28/2009,2010,Denver Nuggets,Utah Jazz,114,105,Home,1,17983,0
Basketball,10/29/2009,2010,Chicago Bulls,San Antonio Spurs,92,85,Home,1,20726,0
Basketball,10/29/2009,2010,Portland Trail Blazers,Denver Nuggets,94,97,Away,0,20497,0
Basketball,10/30/2009,2010,Charlotte Hornets,New York Knicks,102,100,Home,1,15818,0
Basketball,10/30/2009,2010,Philadelphia 76ers,Milwaukee Bucks,99,86,Home,1,14225,0
Basketball,10/30/2009,2010,Atlanta Hawks,Washington Wizards,100,89,Home,1,16546,0
Basketball,10/30/2009,2010,Boston Celtics,Chicago Bulls,118,90,Home,1,18624,0
Basketball,10/30/2009,2010,New Orleans Pelicans,Sacramento Kings,97,92,Home,1,0,0
Basketball,10/30/2009,2010,Brooklyn Nets,Orlando Magic,85,95,Away,0,0,0
Basketball,10/30/2009,2010,Minnesota Timberwolves,Cleveland Cavaliers,87,104,Away,0,15102,0
Basketball,10/30/2009,2010,Memphis Grizzlies,Toronto Raptors,115,107,Home,1,13486,0
Basketball,10/30/2009,2010,Indiana Pacers,Miami Heat,83,96,Away,0,14202,0
Basketball,10/30/2009,2010,Detroit Pistons,Oklahoma City Thunder,83,91,Away,0,18752,0
Basketball,10/30/2009,2010,Utah Jazz,Los Angeles Clippers,111,98,Home,1,19378,0
Basketball,10/30/2009,2010,Phoenix Suns,Golden State Warriors,123,101,Home,1,17648,0
Basketball,10/30/2009,2010,Los Angeles Lakers,Dallas Mavericks,80,94,Away,0,18997,0
Basketball,10/31/2009,2010,Washington Wizards,Brooklyn Nets,123,104,Home,1,16205,0
Basketball,10/31/2009,2010,Cleveland Cavaliers,Charlotte Hornets,90,79,Home,1,20562,0
Basketball,10/31/2009,2010,New York Knicks,Philadelphia 76ers,127,141,Away,0,19501,0
Basketball,10/31/2009,2010,Houston Rockets,Portland Trail Blazers,111,107,Home,1,16528,0
Basketball,10/31/2009,2010,Milwaukee Bucks,Detroit Pistons,96,85,Home,1,15109,0
Basketball,10/31/2009,2010,San Antonio Spurs,Sacramento Kings,113,94,Home,1,18090,0
Basketball,10/31/2009,2010,Los Angeles Clippers,Dallas Mavericks,84,93,Away,0,16343,0
Basketball,11/1/2009,2010,Toronto Raptors,Orlando Magic,116,125,Away,0,17897,0
Basketball,11/1/2009,2010,Boston Celtics,New Orleans Pelicans,97,87,Home,1,18624,0
Basketball,11/1/2009,2010,Miami Heat,Chicago Bulls,95,87,Home,1,17730,0
Basketball,11/1/2009,2010,Oklahoma City Thunder,Portland Trail Blazers,74,83,Away,0,18004,0
Basketball,11/1/2009,2010,Denver Nuggets,Memphis Grizzlies,133,123,Home,1,17983,0
Basketball,11/1/2009,2010,Phoenix Suns,Minnesota Timberwolves,120,112,Home,1,17648,0
Basketball,11/1/2009,2010,Los Angeles Lakers,Atlanta Hawks,118,110,Home,1,18997,0
Basketball,11/2/2009,2010,Charlotte Hornets,Brooklyn Nets,79,68,Home,1,15818,0
Basketball,11/2/2009,2010,New York Knicks,New Orleans Pelicans,117,111,Home,1,19501,0
Basketball,11/2/2009,2010,Utah Jazz,Houston Rockets,96,113,Away,0,19378,0
Basketball,11/2/2009,2010,Sacramento Kings,Memphis Grizzlies,127,116,Home,1,13254,0
Basketball,11/2/2009,2010,Los Angeles Clippers,Minnesota Timberwolves,93,90,Home,1,16343,0
Basketball,11/3/2009,2010,Cleveland Cavaliers,Washington Wizards,102,90,Home,1,20562,0
Basketball,11/3/2009,2010,Indiana Pacers,Denver Nuggets,93,111,Away,0,14202,0
Basketball,11/3/2009,2010,Philadelphia 76ers,Boston Celtics,74,105,Away,0,14225,0
Basketball,11/3/2009,2010,Detroit Pistons,Orlando Magic,85,80,Home,1,18752,0
Basketball,11/3/2009,2010,Miami Heat,Phoenix Suns,96,104,Away,0,17730,0
Basketball,11/3/2009,2010,Chicago Bulls,Milwaukee Bucks,83,81,Home,1,20726,0
Basketball,11/3/2009,2010,Oklahoma City Thunder,Los Angeles Lakers,98,101,Away,0,18004,0
Basketball,11/3/2009,2010,Dallas Mavericks,Utah Jazz,96,85,Home,1,19994,0
Basketball,11/3/2009,2010,Portland Trail Blazers,Atlanta Hawks,91,97,Away,0,20497,0
Basketball,11/4/2009,2010,Orlando Magic,Phoenix Suns,122,100,Home,1,17461,0
Basketball,11/4/2009,2010,Toronto Raptors,Detroit Pistons,110,99,Home,1,17897,0
Basketball,11/4/2009,2010,Washington Wizards,Miami Heat,89,93,Away,0,16205,0
Basketball,11/4/2009,2010,Brooklyn Nets,Denver Nuggets,94,122,Away,0,0,0
Basketball,11/4/2009,2010,New York Knicks,Indiana Pacers,89,101,Away,0,19501,0
Basketball,11/4/2009,2010,Minnesota Timberwolves,Boston Celtics,90,92,Away,0,15102,0
Basketball,11/4/2009,2010,Houston Rockets,Los Angeles Lakers,102,103,Away,0,16528,0
Basketball,11/4/2009,2010,New Orleans Pelicans,Dallas Mavericks,114,107,Home,1,0,0
Basketball,11/4/2009,2010,Sacramento Kings,Atlanta Hawks,105,113,Away,0,13254,0
Basketball,11/4/2009,2010,Golden State Warriors,Memphis Grizzlies,113,105,Home,1,18027,0
Basketball,11/5/2009,2010,Cleveland Cavaliers,Chicago Bulls,85,86,Away,0,20562,0
Basketball,11/5/2009,2010,Utah Jazz,San Antonio Spurs,113,99,Home,1,19378,0
Basketball,11/6/2009,2010,Charlotte Hornets,Atlanta Hawks,103,83,Home,1,15818,0
Basketball,11/6/2009,2010,Indiana Pacers,Washington Wizards,102,86,Home,1,14202,0
Basketball,11/6/2009,2010,Orlando Magic,Detroit Pistons,110,103,Home,1,17461,0
Basketball,11/6/2009,2010,Philadelphia 76ers,Brooklyn Nets,97,94,Home,1,14225,0
Basketball,11/6/2009,2010,Boston Celtics,Phoenix Suns,103,110,Away,0,18624,0
Basketball,11/6/2009,2010,Miami Heat,Denver Nuggets,96,88,Home,1,17730,0
Basketball,11/6/2009,2010,Minnesota Timberwolves,Milwaukee Bucks,72,87,Away,0,15102,0
Basketball,11/6/2009,2010,New Orleans Pelicans,Toronto Raptors,90,107,Away,0,0,0
Basketball,11/6/2009,2010,New York Knicks,Cleveland Cavaliers,91,100,Away,0,19501,0
Basketball,11/6/2009,2010,Houston Rockets,Oklahoma City Thunder,105,94,Home,1,16528,0
Basketball,11/6/2009,2010,Golden State Warriors,Los Angeles Clippers,90,118,Away,0,18027,0
Basketball,11/6/2009,2010,Los Angeles Lakers,Memphis Grizzlies,114,98,Home,1,18997,0
Basketball,11/6/2009,2010,Portland Trail Blazers,San Antonio Spurs,96,84,Home,1,20497,0
Basketball,11/7/2009,2010,Atlanta Hawks,Denver Nuggets,125,100,Home,1,16546,0
Basketball,11/7/2009,2010,Brooklyn Nets,Boston Celtics,76,86,Away,0,0,0
Basketball,11/7/2009,2010,Chicago Bulls,Charlotte Hornets,93,90,Home,1,20726,0
Basketball,11/7/2009,2010,Dallas Mavericks,Toronto Raptors,129,101,Home,1,19994,0
Basketball,11/7/2009,2010,Milwaukee Bucks,New York Knicks,102,87,Home,1,15109,0
Basketball,11/7/2009,2010,Utah Jazz,Sacramento Kings,99,104,Away,0,19378,0
Basketball,11/7/2009,2010,Los Angeles Clippers,Memphis Grizzlies,113,110,Home,1,16343,0
Basketball,11/8/2009,2010,Detroit Pistons,Philadelphia 76ers,88,81,Home,1,18752,0
Basketball,11/8/2009,2010,Washington Wizards,Phoenix Suns,90,102,Away,0,16205,0
Basketball,11/8/2009,2010,Oklahoma City Thunder,Orlando Magic,102,74,Home,1,18004,0
Basketball,11/8/2009,2010,Portland Trail Blazers,Minnesota Timberwolves,116,93,Home,1,20497,0
Basketball,11/8/2009,2010,Sacramento Kings,Golden State Warriors,120,107,Home,1,13254,0
Basketball,11/8/2009,2010,Los Angeles Lakers,New Orleans Pelicans,104,88,Home,1,18997,0
Basketball,11/9/2009,2010,Philadelphia 76ers,Phoenix Suns,115,119,Away,0,14225,0
