Sport,Date,Season,Home_Team,Away_Team,Home_Team_Score,Away_Team_Score,Winner,Home_Team_Won,Attendance,During_COVID
Baseball,4/5/2010,2010,Atlanta,Chicago Cubs,16,5,Home,1,53081,0
Baseball,4/7/2010,2010,Atlanta,Chicago Cubs,3,2,Home,1,36170,0
Baseball,4/8/2010,2010,Atlanta,Chicago Cubs,0,2,Away,0,27443,0
Baseball,4/9/2010,2010,San Francisco,Atlanta,5,4,Home,1,42940,0
Baseball,4/10/2010,2010,San Francisco,Atlanta,2,7,Away,0,42985,0
Baseball,4/11/2010,2010,San Francisco,Atlanta,6,3,Home,1,38062,0
Baseball,4/12/2010,2010,San Diego,Atlanta,17,2,Home,1,42843,0
Baseball,4/14/2010,2010,San Diego,Atlanta,1,6,Away,0,24969,0
Baseball,4/15/2010,2010,San Diego,Atlanta,2,6,Away,0,16356,0
Baseball,4/16/2010,2010,Atlanta,Colorado,9,5,Home,1,27692,0
Baseball,4/17/2010,2010,Atlanta,Colorado,0,4,Away,0,32602,0
Baseball,4/18/2010,2010,Atlanta,Colorado,4,3,Home,1,26546,0
Baseball,4/20/2010,2010,Atlanta,Philadelphia,4,3,Home,1,18032,0
Baseball,4/21/2010,2010,Atlanta,Philadelphia,0,2,Away,0,21171,0
Baseball,4/22/2010,2010,Atlanta,Philadelphia,3,8,Away,0,22476,0
Baseball,4/23/2010,2010,New York Mets,Atlanta,5,2,Home,1,32265,0
Baseball,4/24/2010,2010,New York Mets,Atlanta,3,1,Home,1,36547,0
Baseball,4/25/2010,2010,New York Mets,Atlanta,1,0,Home,1,27623,0
Baseball,4/26/2010,2010,St. Louis,Atlanta,4,3,Home,1,35257,0
Baseball,4/27/2010,2010,St. Louis,Atlanta,5,4,Home,1,35587,0
Baseball,4/28/2010,2010,St. Louis,Atlanta,6,0,Home,1,35693,0
Baseball,4/29/2010,2010,St. Louis,Atlanta,10,4,Home,1,39561,0
Baseball,4/30/2010,2010,Atlanta,Houston,4,2,Home,1,30082,0
Baseball,5/1/2010,2010,Atlanta,Houston,10,1,Home,1,27035,0
Baseball,5/2/2010,2010,Atlanta,Houston,7,1,Home,1,25665,0
Baseball,5/4/2010,2010,Washington,Atlanta,6,3,Home,1,17098,0
Baseball,5/5/2010,2010,Washington,Atlanta,6,7,Away,0,15616,0
Baseball,5/6/2010,2010,Washington,Atlanta,3,2,Home,1,17131,0
Baseball,5/7/2010,2010,Philadelphia,Atlanta,7,0,Home,1,45349,0
Baseball,5/8/2010,2010,Philadelphia,Atlanta,1,4,Away,0,45395,0
Baseball,5/9/2010,2010,Philadelphia,Atlanta,5,3,Home,1,45193,0
Baseball,5/10/2010,2010,Milwaukee,Atlanta,2,8,Away,0,24365,0
Baseball,5/11/2010,2010,Milwaukee,Atlanta,3,11,Away,0,30678,0
Baseball,5/12/2010,2010,Milwaukee,Atlanta,2,9,Away,0,30175,0
Baseball,5/14/2010,2010,Atlanta,Arizona,6,5,Home,1,30657,0
Baseball,5/15/2010,2010,Atlanta,Arizona,1,11,Away,0,32718,0
Baseball,5/16/2010,2010,Atlanta,Arizona,13,1,Home,1,31758,0
Baseball,5/17/2010,2010,Atlanta,New York Mets,2,3,Away,0,21086,0
Baseball,5/18/2010,2010,Atlanta,New York Mets,3,2,Home,1,27119,0
Baseball,5/19/2010,2010,Atlanta,Cincinnati,5,4,Home,1,25347,0
Baseball,5/20/2010,2010,Atlanta,Cincinnati,10,9,Home,1,21621,0
Baseball,5/21/2010,2010,Pittsburgh,Atlanta,0,7,Away,0,22470,0
Baseball,5/22/2010,2010,Pittsburgh,Atlanta,2,4,Away,0,26519,0
Baseball,5/23/2010,2010,Pittsburgh,Atlanta,3,2,Home,1,23045,0
Baseball,5/25/2010,2010,Miami,Atlanta,6,4,Home,1,11434,0
Baseball,5/26/2010,2010,Miami,Atlanta,3,7,Away,0,15238,0
Baseball,5/27/2010,2010,Miami,Atlanta,3,8,Away,0,11381,0
Baseball,5/28/2010,2010,Atlanta,Pittsburgh,7,3,Home,1,23442,0
Baseball,5/29/2010,2010,Atlanta,Pittsburgh,6,3,Home,1,29134,0
Baseball,5/30/2010,2010,Atlanta,Pittsburgh,5,2,Home,1,31078,0
Baseball,5/31/2010,2010,Atlanta,Philadelphia,9,3,Home,1,42543,0
Baseball,6/1/2010,2010,Atlanta,Philadelphia,7,3,Home,1,29731,0
Baseball,6/2/2010,2010,Atlanta,Philadelphia,2,1,Home,1,26309,0
Baseball,6/3/2010,2010,Los Angeles Dodgers,Atlanta,3,4,Away,0,35333,0
Baseball,6/4/2010,2010,Los Angeles Dodgers,Atlanta,5,4,Home,1,42459,0
Baseball,6/5/2010,2010,Los Angeles Dodgers,Atlanta,3,9,Away,0,48207,0
Baseball,6/6/2010,2010,Los Angeles Dodgers,Atlanta,5,4,Home,1,37944,0
Baseball,6/7/2010,2010,Arizona,Atlanta,7,4,Home,1,17731,0
Baseball,6/8/2010,2010,Arizona,Atlanta,5,7,Away,0,17052,0
Baseball,6/9/2010,2010,Arizona,Atlanta,2,1,Home,1,19138,0
Baseball,6/10/2010,2010,Arizona,Atlanta,7,11,Away,0,26969,0
Baseball,6/11/2010,2010,Minnesota,Atlanta,2,1,Home,1,39428,0
Baseball,6/12/2010,2010,Minnesota,Atlanta,2,3,Away,0,40001,0
Baseball,6/13/2010,2010,Minnesota,Atlanta,3,7,Away,0,39772,0
Baseball,6/15/2010,2010,Atlanta,Tampa Bay,4,10,Away,0,30448,0
Baseball,6/16/2010,2010,Atlanta,Tampa Bay,6,2,Home,1,26807,0
Baseball,6/17/2010,2010,Atlanta,Tampa Bay,3,1,Home,1,30427,0
Baseball,6/18/2010,2010,Atlanta,Kansas City,6,4,Home,1,29808,0
Baseball,6/19/2010,2010,Atlanta,Kansas City,5,4,Home,1,39109,0
Baseball,6/20/2010,2010,Atlanta,Kansas City,8,5,Home,1,30072,0
Baseball,6/22/2010,2010,Chicago White Sox,Atlanta,9,6,Home,1,28773,0
Baseball,6/23/2010,2010,Chicago White Sox,Atlanta,4,2,Home,1,27561,0
Baseball,6/24/2010,2010,Chicago White Sox,Atlanta,2,0,Home,1,31076,0
Baseball,6/25/2010,2010,Atlanta,Detroit,3,1,Home,1,36634,0
Baseball,6/26/2010,2010,Atlanta,Detroit,4,3,Home,1,39184,0
Baseball,6/27/2010,2010,Atlanta,Detroit,4,10,Away,0,26034,0
Baseball,6/28/2010,2010,Atlanta,Washington,5,0,Home,1,42889,0
Baseball,6/29/2010,2010,Atlanta,Washington,2,7,Away,0,19045,0
Baseball,6/30/2010,2010,Atlanta,Washington,4,1,Home,1,20091,0
Baseball,7/2/2010,2010,Atlanta,Miami,4,3,Home,1,34332,0
Baseball,7/3/2010,2010,Atlanta,Miami,4,1,Home,1,30148,0
Baseball,7/4/2010,2010,Atlanta,Miami,2,3,Away,0,44163,0
Baseball,7/5/2010,2010,Philadelphia,Atlanta,3,1,Home,1,45404,0
Baseball,7/6/2010,2010,Philadelphia,Atlanta,3,6,Away,0,44715,0
Baseball,7/7/2010,2010,Philadelphia,Atlanta,5,7,Away,0,44282,0
Baseball,7/9/2010,2010,New York Mets,Atlanta,2,4,Away,0,36356,0
Baseball,7/10/2010,2010,New York Mets,Atlanta,0,4,Away,0,37793,0
Baseball,7/11/2010,2010,New York Mets,Atlanta,3,0,Home,1,36402,0
Baseball,7/15/2010,2010,Atlanta,Milwaukee,2,1,Home,1,35057,0
Baseball,7/16/2010,2010,Atlanta,Milwaukee,3,9,Away,0,37014,0
Baseball,7/17/2010,2010,Atlanta,Milwaukee,3,6,Away,0,48174,0
Baseball,7/18/2010,2010,Atlanta,Milwaukee,11,6,Home,1,24732,0
Baseball,7/20/2010,2010,Atlanta,San Diego,4,1,Home,1,30621,0
Baseball,7/21/2010,2010,Atlanta,San Diego,4,6,Away,0,30039,0
Baseball,7/22/2010,2010,Atlanta,San Diego,8,0,Home,1,26450,0
Baseball,7/23/2010,2010,Miami,Atlanta,7,6,Home,1,19204,0
Baseball,7/24/2010,2010,Miami,Atlanta,5,10,Away,0,30245,0
Baseball,7/25/2010,2010,Miami,Atlanta,5,4,Home,1,17321,0
Baseball,7/27/2010,2010,Washington,Atlanta,3,0,Home,1,40043,0
Baseball,7/28/2010,2010,Washington,Atlanta,1,3,Away,0,24263,0
Baseball,7/29/2010,2010,Washington,Atlanta,5,3,Home,1,30263,0
Baseball,7/30/2010,2010,Cincinnati,Atlanta,4,6,Away,0,40373,0
Baseball,7/31/2010,2010,Cincinnati,Atlanta,5,2,Home,1,41611,0
Baseball,8/1/2010,2010,Cincinnati,Atlanta,2,1,Home,1,40871,0
Baseball,8/2/2010,2010,Atlanta,New York Mets,4,1,Home,1,33030,0
Baseball,8/3/2010,2010,Atlanta,New York Mets,2,3,Away,0,26578,0
Baseball,8/4/2010,2010,Atlanta,New York Mets,8,3,Home,1,28536,0
Baseball,8/5/2010,2010,Atlanta,San Francisco,3,2,Home,1,24538,0
Baseball,8/6/2010,2010,Atlanta,San Francisco,2,3,Away,0,42178,0
Baseball,8/7/2010,2010,Atlanta,San Francisco,3,0,Home,1,47305,0
Baseball,8/8/2010,2010,Atlanta,San Francisco,6,3,Home,1,33865,0
Baseball,8/9/2010,2010,Houston,Atlanta,10,4,Home,1,34684,0
Baseball,8/10/2010,2010,Houston,Atlanta,2,4,Away,0,34155,0
Baseball,8/11/2010,2010,Houston,Atlanta,2,8,Away,0,31352,0
Baseball,8/13/2010,2010,Atlanta,Los Angeles Dodgers,1,0,Home,1,38602,0
Baseball,8/14/2010,2010,Atlanta,Los Angeles Dodgers,1,2,Away,0,49267,0
