Sport,Date,Season,Home_Team,Away_Team,Home_Team_Score,Away_Team_Score,Winner,Home_Team_Won,Attendance,During_COVID
Hockey,10/1/2009,2010,Boston Bruins,Washington Capitals,1,4,Away,0,17565,0
Hockey,10/1/2009,2010,Colorado Avalanche,San Jose Sharks,5,2,Home,1,18007,0
Hockey,10/1/2009,2010,Calgary Flames,Vancouver Canucks,5,3,Home,1,19289,0
Hockey,10/1/2009,2010,Toronto Maple Leafs,Montreal Canadiens,3,4,Away,0,19617,0
Hockey,10/2/2009,2010,Chicago Blackhawks,Florida Panthers,3,4,Away,0,12056,0
Hockey,10/2/2009,2010,Detroit Red Wings,St. Louis Blues,3,4,Away,0,13850,0
Hockey,10/2/2009,2010,Pittsburgh Penguins,New York Rangers,3,2,Home,1,17132,0
Hockey,10/2/2009,2010,Carolina Hurricanes,Philadelphia Flyers,0,2,Away,0,18680,0
Hockey,10/3/2009,2010,Florida Panthers,Chicago Blackhawks,0,4,Away,0,11526,0
Hockey,10/3/2009,2010,Colorado Avalanche,Vancouver Canucks,3,0,Home,1,13416,0
Hockey,10/3/2009,2010,St. Louis Blues,Detroit Red Wings,5,3,Home,1,13850,0
Hockey,10/3/2009,2010,New York Islanders,Pittsburgh Penguins,3,4,Away,0,16234,0
Hockey,10/3/2009,2010,Boston Bruins,Carolina Hurricanes,7,2,Home,1,16592,0
Hockey,10/3/2009,2010,Edmonton Oilers,Calgary Flames,3,4,Away,0,16839,0
Hockey,10/3/2009,2010,Anaheim Ducks,San Jose Sharks,1,4,Away,0,17281,0
Hockey,10/3/2009,2010,New Jersey Devils,Philadelphia Flyers,2,5,Away,0,17625,0
Hockey,10/3/2009,2010,Los Angeles Kings,Phoenix Coyotes,3,6,Away,0,18118,0
Hockey,10/3/2009,2010,Columbus Blue Jackets,Minnesota Wild,2,1,Home,1,18159,0
Hockey,10/3/2009,2010,New York Rangers,Ottawa Senators,5,2,Home,1,18200,0
Hockey,10/3/2009,2010,Washington Capitals,Toronto Maple Leafs,6,4,Home,1,18277,0
Hockey,10/3/2009,2010,Dallas Stars,Nashville Predators,2,3,Away,0,18532,0
Hockey,10/3/2009,2010,Atlanta Thrashers,Tampa Bay Lightning,6,3,Home,1,18545,0
Hockey,10/3/2009,2010,Buffalo Sabres,Montreal Canadiens,1,2,Away,0,18690,0
Hockey,10/5/2009,2010,New Jersey Devils,New York Rangers,2,3,Away,0,17625,0
Hockey,10/5/2009,2010,Vancouver Canucks,Columbus Blue Jackets,3,5,Away,0,18810,0
Hockey,10/6/2009,2010,Los Angeles Kings,San Jose Sharks,6,4,Home,1,15035,0
Hockey,10/6/2009,2010,Carolina Hurricanes,Tampa Bay Lightning,2,1,Home,1,16186,0
Hockey,10/6/2009,2010,Edmonton Oilers,Dallas Stars,5,4,Home,1,16839,0
Hockey,10/6/2009,2010,Minnesota Wild,Anaheim Ducks,4,3,Home,1,18256,0
Hockey,10/6/2009,2010,Toronto Maple Leafs,Ottawa Senators,1,2,Away,0,18830,0
Hockey,10/6/2009,2010,Calgary Flames,Montreal Canadiens,4,3,Home,1,19289,0
Hockey,10/6/2009,2010,Philadelphia Flyers,Washington Capitals,6,5,Home,1,19567,0
Hockey,10/7/2009,2010,Pittsburgh Penguins,Phoenix Coyotes,0,3,Away,0,16975,0
Hockey,10/7/2009,2010,Vancouver Canucks,Montreal Canadiens,7,1,Home,1,18810,0
Hockey,10/8/2009,2010,Nashville Predators,Colorado Avalanche,3,2,Home,1,14797,0
Hockey,10/8/2009,2010,Los Angeles Kings,Minnesota Wild,6,3,Home,1,14995,0
Hockey,10/8/2009,2010,Boston Bruins,Anaheim Ducks,1,6,Away,0,16158,0
Hockey,10/8/2009,2010,Edmonton Oilers,Calgary Flames,3,4,Away,0,16839,0
Hockey,10/8/2009,2010,Tampa Bay Lightning,New Jersey Devils,3,4,Away,0,17454,0
Hockey,10/8/2009,2010,San Jose Sharks,Columbus Blue Jackets,6,3,Home,1,17562,0
Hockey,10/8/2009,2010,Ottawa Senators,New York Islanders,3,2,Home,1,18075,0
Hockey,10/8/2009,2010,Washington Capitals,New York Rangers,3,4,Away,0,18277,0
Hockey,10/8/2009,2010,Buffalo Sabres,Phoenix Coyotes,2,1,Home,1,18690,0
Hockey,10/8/2009,2010,St. Louis Blues,Atlanta Thrashers,2,4,Away,0,19150,0
Hockey,10/8/2009,2010,Philadelphia Flyers,Pittsburgh Penguins,4,5,Away,0,19611,0
Hockey,10/8/2009,2010,Detroit Red Wings,Chicago Blackhawks,3,2,Home,1,20066,0
Hockey,10/9/2009,2010,Carolina Hurricanes,Florida Panthers,7,2,Home,1,13597,0
Hockey,10/9/2009,2010,Calgary Flames,Dallas Stars,2,5,Away,0,19289,0
Hockey,10/10/2009,2010,Nashville Predators,Buffalo Sabres,0,1,Away,0,14209,0
Hockey,10/10/2009,2010,Tampa Bay Lightning,Carolina Hurricanes,5,2,Home,1,14212,0
Hockey,10/10/2009,2010,Edmonton Oilers,Montreal Canadiens,3,2,Home,1,16839,0
Hockey,10/10/2009,2010,Boston Bruins,New York Islanders,4,3,Home,1,17113,0
Hockey,10/10/2009,2010,Phoenix Coyotes,Columbus Blue Jackets,0,2,Away,0,17532,0
Hockey,10/10/2009,2010,San Jose Sharks,Minnesota Wild,4,2,Home,1,17562,0
Hockey,10/10/2009,2010,Florida Panthers,New Jersey Devils,2,3,Away,0,18802,0
Hockey,10/10/2009,2010,Detroit Red Wings,Washington Capitals,3,2,Home,1,19122,0
Hockey,10/10/2009,2010,St. Louis Blues,Los Angeles Kings,1,2,Away,0,19150,0
Hockey,10/10/2009,2010,Ottawa Senators,Atlanta Thrashers,4,2,Home,1,19360,0
Hockey,10/10/2009,2010,Toronto Maple Leafs,Pittsburgh Penguins,2,5,Away,0,19374,0
Hockey,10/10/2009,2010,Philadelphia Flyers,Anaheim Ducks,2,3,Away,0,19603,0
Hockey,10/10/2009,2010,Chicago Blackhawks,Colorado Avalanche,4,3,Home,1,20655,0
Hockey,10/11/2009,2010,New York Rangers,Anaheim Ducks,3,0,Home,1,18200,0
Hockey,10/11/2009,2010,Vancouver Canucks,Dallas Stars,4,3,Home,1,18810,0
Hockey,10/12/2009,2010,New York Islanders,Los Angeles Kings,1,2,Away,0,12145,0
Hockey,10/12/2009,2010,Nashville Predators,Edmonton Oilers,1,6,Away,0,12179,0
Hockey,10/12/2009,2010,Tampa Bay Lightning,Florida Panthers,3,2,Home,1,14126,0
Hockey,10/12/2009,2010,Boston Bruins,Colorado Avalanche,3,4,Away,0,16393,0
Hockey,10/12/2009,2010,Ottawa Senators,Pittsburgh Penguins,1,4,Away,0,17014,0
Hockey,10/12/2009,2010,San Jose Sharks,Phoenix Coyotes,0,1,Away,0,17562,0
Hockey,10/12/2009,2010,New York Rangers,Toronto Maple Leafs,7,2,Home,1,18200,0
Hockey,10/12/2009,2010,Washington Capitals,New Jersey Devils,2,3,Away,0,18277,0
Hockey,10/12/2009,2010,Chicago Blackhawks,Calgary Flames,6,5,Home,1,20074,0
Hockey,10/13/2009,2010,Columbus Blue Jackets,Calgary Flames,2,1,Home,1,13280,0
Hockey,10/13/2009,2010,Buffalo Sabres,Detroit Red Wings,6,2,Home,1,17459,0
Hockey,10/13/2009,2010,Toronto Maple Leafs,Colorado Avalanche,1,4,Away,0,19148,0
Hockey,10/14/2009,2010,Carolina Hurricanes,Pittsburgh Penguins,2,3,Away,0,14053,0
Hockey,10/14/2009,2010,Anaheim Ducks,Minnesota Wild,3,2,Home,1,15111,0
Hockey,10/14/2009,2010,Dallas Stars,Nashville Predators,6,0,Home,1,16365,0
Hockey,10/14/2009,2010,New York Rangers,Los Angeles Kings,4,2,Home,1,18200,0
Hockey,10/14/2009,2010,Chicago Blackhawks,Edmonton Oilers,4,3,Home,1,20124,0
Hockey,10/15/2009,2010,Phoenix Coyotes,St. Louis Blues,3,2,Home,1,6899,0
Hockey,10/15/2009,2010,Nashville Predators,Chicago Blackhawks,1,3,Away,0,13103,0
Hockey,10/15/2009,2010,Ottawa Senators,Tampa Bay Lightning,7,1,Home,1,17732,0
Hockey,10/15/2009,2010,Detroit Red Wings,Los Angeles Kings,5,2,Home,1,17782,0
Hockey,10/15/2009,2010,Washington Capitals,San Jose Sharks,4,1,Home,1,18277,0
Hockey,10/15/2009,2010,Montreal Canadiens,Colorado Avalanche,2,3,Away,0,21273,0
Hockey,10/16/2009,2010,New Jersey Devils,Atlanta Thrashers,2,4,Away,0,14187,0
Hockey,10/16/2009,2010,Florida Panthers,Philadelphia Flyers,4,2,Home,1,15557,0
Hockey,10/16/2009,2010,Edmonton Oilers,Minnesota Wild,5,2,Home,1,16839,0
Hockey,10/16/2009,2010,Dallas Stars,Boston Bruins,0,3,Away,0,17811,0
Hockey,10/16/2009,2010,Buffalo Sabres,New York Islanders,6,3,Home,1,18690,0
Hockey,10/16/2009,2010,Calgary Flames,Vancouver Canucks,5,3,Home,1,19289,0
Hockey,10/17/2009,2010,Phoenix Coyotes,Boston Bruins,4,1,Home,1,9162,0
Hockey,10/17/2009,2010,New York Islanders,San Jose Sharks,1,4,Away,0,11287,0
Hockey,10/17/2009,2010,Anaheim Ducks,St. Louis Blues,0,5,Away,0,14902,0
Hockey,10/17/2009,2010,New Jersey Devils,Carolina Hurricanes,2,0,Home,1,15021,0
Hockey,10/17/2009,2010,Columbus Blue Jackets,Los Angeles Kings,4,1,Home,1,15251,0
Hockey,10/17/2009,2010,Pittsburgh Penguins,Tampa Bay Lightning,4,1,Home,1,17132,0
Hockey,10/17/2009,2010,Washington Capitals,Nashville Predators,3,2,Home,1,18277,0
Hockey,10/17/2009,2010,Buffalo Sabres,Atlanta Thrashers,2,4,Away,0,18690,0
Hockey,10/17/2009,2010,Vancouver Canucks,Minnesota Wild,2,1,Home,1,18810,0
Hockey,10/17/2009,2010,Toronto Maple Leafs,New York Rangers,1,4,Away,0,19295,0
Hockey,10/17/2009,2010,Detroit Red Wings,Colorado Avalanche,3,4,Away,0,19763,0
Hockey,10/17/2009,2010,Chicago Blackhawks,Dallas Stars,3,4,Away,0,20424,0
Hockey,10/17/2009,2010,Montreal Canadiens,Ottawa Senators,1,3,Away,0,21273,0
Hockey,10/19/2009,2010,Dallas Stars,Los Angeles Kings,1,4,Away,0,16210,0
Hockey,10/19/2009,2010,Edmonton Oilers,Vancouver Canucks,2,1,Home,1,16839,0
Hockey,10/19/2009,2010,New York Rangers,San Jose Sharks,3,7,Away,0,18200,0
Hockey,10/20/2009,2010,Pittsburgh Penguins,St. Louis Blues,5,1,Home,1,17132,0
Hockey,10/20/2009,2010,Calgary Flames,Columbus Blue Jackets,6,3,Home,1,19289,0
Hockey,10/20/2009,2010,Montreal Canadiens,Atlanta Thrashers,2,1,Home,1,21273,0
Hockey,10/21/2009,2010,New York Islanders,Carolina Hurricanes,4,3,Home,1,9122,0
Hockey,10/21/2009,2010,Florida Panthers,Buffalo Sabres,2,5,Away,0,12607,0
Hockey,10/21/2009,2010,Anaheim Ducks,Dallas Stars,2,4,Away,0,14503,0
Hockey,10/21/2009,2010,Boston Bruins,Nashville Predators,3,2,Home,1,16715,0
Hockey,10/21/2009,2010,Minnesota Wild,Colorado Avalanche,3,2,Home,1,18175,0
Hockey,10/21/2009,2010,Chicago Blackhawks,Vancouver Canucks,2,3,Away,0,20077,0
Hockey,10/22/2009,2010,Phoenix Coyotes,Detroit Red Wings,3,2,Home,1,11938,0
Hockey,10/22/2009,2010,Atlanta Thrashers,Washington Capitals,4,5,Away,0,13192,0
