Date,people_fully_vaccinated,Percentage,State
2021-01-12,10591,0.0008271569262970455,Pennsylvania
2021-01-13,18051,0.0014097828039456109,Pennsylvania
2021-01-15,66941,0.00522809100210089,Pennsylvania
2021-01-19,79526,0.006210979295694348,Pennsylvania
2021-01-20,85290,0.006661147601159004,Pennsylvania
2021-01-21,96395,0.0075284479190259376,Pennsylvania
2021-01-22,112692,0.008801243351738897,Pennsylvania
2021-01-23,122849,0.009594504885153976,Pennsylvania
2021-01-24,131908,0.010302012636577346,Pennsylvania
2021-01-25,135939,0.01061683367046493,Pennsylvania
2021-01-26,141304,0.011035840082473585,Pennsylvania
2021-01-27,156798,0.012245921228356542,Pennsylvania
2021-01-28,159259,0.012438125287993691,Pennsylvania
2021-01-29,193432,0.015107036027522438,Pennsylvania
2021-01-30,209964,0.016398184956381158,Pennsylvania
2021-01-31,223489,0.01745448723455768,Pennsylvania
2021-02-01,231261,0.018061480307089137,Pennsylvania
2021-02-02,236995,0.018509305613045826,Pennsylvania
2021-02-03,237876,0.018578111698596543,Pennsylvania
2021-02-04,257255,0.02009161128076163,Pennsylvania
2021-02-05,275444,0.021512171882443903,Pennsylvania
2021-02-06,298741,0.023331667200349886,Pennsylvania
2021-02-07,321336,0.02509633632976937,Pennsylvania
2021-02-08,328907,0.025687631305597425,Pennsylvania
2021-02-09,340234,0.026572269819823337,Pennsylvania
2021-02-10,356869,0.02787146304699276,Pennsylvania
2021-02-11,373882,0.029200178067962605,Pennsylvania
2021-02-12,399610,0.031209534445997767,Pennsylvania
2021-02-13,403898,0.03154442717567029,Pennsylvania
2021-02-14,453485,0.03541717106239408,Pennsylvania
2021-02-16,457037,0.03569458220413774,Pennsylvania
2021-02-17,498866,0.03896142641810045,Pennsylvania
2021-02-18,518285,0.0404780499996095,Pennsylvania
2021-02-19,577183,0.0450779828336236,Pennsylvania
2021-02-20,596337,0.04657390991947892,Pennsylvania
2021-02-21,631998,0.04935903343460298,Pennsylvania
2021-02-22,654674,0.051130028662693984,Pennsylvania
2021-02-23,667307,0.05211666575550019,Pennsylvania
2021-02-24,689403,0.05384236299310377,Pennsylvania
2021-02-25,718962,0.05615092040830672,Pennsylvania
2021-02-26,752848,0.058797416452542536,Pennsylvania
2021-02-27,800575,0.06252489436977217,Pennsylvania
2021-02-28,833444,0.06509196273068782,Pennsylvania
2021-03-01,871814,0.0680886591013816,Pennsylvania
2021-03-02,888877,0.06942127912153137,Pennsylvania
2021-03-03,915065,0.07146656149202209,Pennsylvania
2021-03-04,950079,0.07420115431775759,Pennsylvania
2021-03-05,988025,0.07716473629540538,Pennsylvania
2021-03-06,1033492,0.08071570824970127,Pennsylvania
2021-03-07,1038966,0.08114322755992223,Pennsylvania
2021-03-08,1043146,0.08146968549136605,Pennsylvania
2021-03-09,1117905,0.08730836216524394,Pennsylvania
2021-03-10,1161950,0.09074827594286206,Pennsylvania
2021-03-11,1203908,0.09402519505470903,Pennsylvania
2021-03-12,1211482,0.09461672433048787,Pennsylvania
2021-03-13,1341625,0.104780890496013,Pennsylvania
2021-03-14,1378528,0.107663014190767,Pennsylvania
2021-03-15,1422010,0.11105895767761888,Pennsylvania
2021-03-16,1442681,0.11267336243859387,Pennsylvania
2021-03-17,1538429,0.12015127966823128,Pennsylvania
2021-03-18,1580677,0.12345084777532195,Pennsylvania
2021-03-19,1587925,0.12401691645644755,Pennsylvania
2021-03-20,1596830,0.12471239681039667,Pennsylvania
2021-03-21,1599223,0.12489929007114907,Pennsylvania
2021-03-22,1639030,0.12800821611827462,Pennsylvania
2021-03-23,1782548,0.13921696956443638,Pennsylvania
2021-03-24,1828033,0.14276934731843707,Pennsylvania
2021-03-25,1843196,0.14395357736974876,Pennsylvania
2021-03-26,1899063,0.14831678915347427,Pennsylvania
2021-03-27,1954462,0.15264345014487546,Pennsylvania
2021-03-28,2007637,0.15679641677275247,Pennsylvania
2021-03-29,2055405,0.16052709678930968,Pennsylvania
2021-03-30,2084919,0.16283213970525065,Pennsylvania
2021-03-31,2128284,0.16621894549402144,Pennsylvania
2021-04-01,2197732,0.17164283315500506,Pennsylvania
2021-04-02,2255292,0.17613826821096368,Pennsylvania
2021-04-03,2327675,0.18179137932381034,Pennsylvania
2021-04-04,2379746,0.1858581235697941,Pennsylvania
2021-04-05,2424161,0.1893269343413438,Pennsylvania
2021-04-06,2448811,0.1912520989370592,Pennsylvania
2021-04-07,2461399,0.1922352215306035,Pennsylvania
2021-04-08,2479698,0.19366437313048165,Pennsylvania
2021-04-09,2512316,0.19621183839551395,Pennsylvania
2021-04-10,2775652,0.2167783756765411,Pennsylvania
2021-04-11,2837612,0.22161745066033536,Pennsylvania
2021-04-12,2911810,0.2274123132434142,Pennsylvania
2021-04-13,2982784,0.2329553814793699,Pennsylvania
2021-04-14,3050358,0.2382329097710889,Pennsylvania
2021-04-15,3115062,0.2432862911098789,Pennsylvania
2021-04-16,3179766,0.2483396724486688,Pennsylvania
2021-04-17,3244469,0.2533929756874751,Pennsylvania
2021-04-18,3309173,0.258446357026265,Pennsylvania
2021-04-19,3373877,0.26349973836505497,Pennsylvania
2021-04-20,3438581,0.2685531197038449,Pennsylvania
2021-04-21,3503284,0.2736064229426512,Pennsylvania
2021-04-22,3567988,0.2786598042814411,Pennsylvania
2021-04-23,3632692,0.283713185620231,Pennsylvania
2021-04-24,3697396,0.2887665669590209,Pennsylvania
2021-04-25,3762099,0.29381987019782724,Pennsylvania
2021-04-26,3826803,0.2988732515366172,Pennsylvania
2021-04-27,3891507,0.3039266328754071,Pennsylvania
2021-04-28,3956211,0.308980014214197,Pennsylvania
2021-04-29,4020914,0.3140333174530033,Pennsylvania
2021-04-30,4085618,0.31908669879179324,Pennsylvania
2021-05-01,4150322,0.32414008013058315,Pennsylvania
2021-05-02,4215026,0.3291934614693731,Pennsylvania
2021-05-03,4279729,0.33424676470817943,Pennsylvania
2021-05-04,4344433,0.3393001460469693,Pennsylvania
2021-05-05,4409137,0.34435352738575925,Pennsylvania
2021-05-06,4473841,0.3494069087245492,Pennsylvania
2021-05-07,4538544,0.3544602119633555,Pennsylvania
2021-05-08,4603248,0.3595135933021454,Pennsylvania
2021-05-09,4667952,0.36456697464093535,Pennsylvania
2021-05-10,4732656,0.3696203559797253,Pennsylvania
2021-05-11,4797359,0.3746736592185316,Pennsylvania
2021-05-12,4862063,0.3797270405573215,Pennsylvania
2021-05-13,4926767,0.3847804218961114,Pennsylvania
2021-05-14,4991471,0.3898338032349013,Pennsylvania
2021-05-15,5056174,0.3948871064737076,Pennsylvania
2021-05-16,5120878,0.3999404878124976,Pennsylvania
2021-05-17,5185582,0.4049938691512875,Pennsylvania
2021-05-18,5250286,0.4100472504900774,Pennsylvania
2021-05-19,5314989,0.4151005537288837,Pennsylvania
2021-05-20,5379693,0.4201539350676736,Pennsylvania
2021-05-21,5444397,0.4252073164064635,Pennsylvania
2021-05-22,5509101,0.4302606977452535,Pennsylvania
2021-05-23,5573804,0.4353140009840598,Pennsylvania
2021-05-24,5638508,0.4403673823228497,Pennsylvania
2021-05-25,5703212,0.4454207636616396,Pennsylvania
2021-05-26,5767916,0.4504741450004296,Pennsylvania
2021-05-27,5832619,0.4555274482392359,Pennsylvania
2021-05-28,5897323,0.4605808295780258,Pennsylvania
2021-05-29,5962027,0.4656342109168157,Pennsylvania
2021-05-30,6026731,0.4706875922556056,Pennsylvania
2021-05-31,6091434,0.475740895494412,Pennsylvania
2021-06-01,6156138,0.4807942768332018,Pennsylvania
2021-06-02,6220842,0.4858476581719918,Pennsylvania
2021-06-03,6285546,0.4909010395107817,Pennsylvania
2021-06-04,6350250,0.4959544208495717,Pennsylvania
2021-06-05,6414953,0.5010077240883779,Pennsylvania
2021-06-06,6479657,0.5060611054271679,Pennsylvania
2021-06-07,6544361,0.5111144867659578,Pennsylvania
2021-06-08,6609065,0.5161678681047477,Pennsylvania
2021-06-09,6673768,0.5212211713435541,Pennsylvania
2021-06-10,6738472,0.5262745526823439,Pennsylvania
2021-06-11,6803176,0.5313279340211339,Pennsylvania
2021-06-12,6867880,0.5363813153599237,Pennsylvania
2021-06-13,6932583,0.5414346185987301,Pennsylvania
2021-06-14,6997287,0.5464879999375201,Pennsylvania
2021-06-15,7061991,0.5515413812763099,Pennsylvania
2021-06-16,7126695,0.5565947626150999,Pennsylvania
2021-06-17,7191398,0.5616480658539061,Pennsylvania
2021-06-18,7256102,0.5667014471926961,Pennsylvania
2021-06-19,7320806,0.571754828531486,Pennsylvania
2021-06-20,7385510,0.5768082098702759,Pennsylvania
2021-06-21,7450213,0.5818615131090823,Pennsylvania
2021-06-22,7514917,0.5869148944478721,Pennsylvania
2021-06-23,7579621,0.5919682757866621,Pennsylvania
2021-06-24,7644325,0.597021657125452,Pennsylvania
2021-06-25,7709028,0.6020749603642583,Pennsylvania
2021-06-26,7773732,0.6071283417030482,Pennsylvania
2021-06-27,7838436,0.6121817230418382,Pennsylvania
2021-06-28,7903140,0.6172351043806281,Pennsylvania
2021-06-29,7967843,0.6222884076194344,Pennsylvania
2021-06-30,8032547,0.6273417889582243,Pennsylvania
2021-07-01,8097251,0.6323951702970142,Pennsylvania
2021-07-02,8161955,0.6374485516358042,Pennsylvania
2021-07-03,8226658,0.6425018548746104,Pennsylvania
2021-07-04,8291362,0.6475552362134004,Pennsylvania
2021-07-05,8356066,0.6526086175521904,Pennsylvania
2021-07-06,8420770,0.6576619988909802,Pennsylvania
2021-07-07,8485473,0.6627153021297866,Pennsylvania
2021-07-08,8550177,0.6677686834685764,Pennsylvania
2021-07-09,8614881,0.6728220648073664,Pennsylvania
2021-07-10,8679585,0.6778754461461564,Pennsylvania
2021-07-11,8744288,0.6829287493849626,Pennsylvania
2021-07-12,8808992,0.6879821307237526,Pennsylvania
2021-07-13,8873696,0.6930355120625424,Pennsylvania
2021-07-14,8938400,0.6980888934013324,Pennsylvania
2021-07-15,9003103,0.7031421966401387,Pennsylvania
2021-07-16,9067807,0.7081955779789286,Pennsylvania
2021-07-17,9132511,0.7132489593177186,Pennsylvania
2021-07-18,9197215,0.7183023406565084,Pennsylvania
