Sport,Date,Season,Home_Team,Away_Team,Home_Team_Score,Away_Team_Score,Winner,Home_Team_Won,Attendance,During_COVID
Spanish Soccer,8/23/2014,2015,Málaga,Athletic Club,1,0,Home,1,"24,500",0
Spanish Soccer,8/23/2014,2015,Granada,La Coruña,2,1,Home,1,"14,800",0
Spanish Soccer,8/23/2014,2015,Sevilla,Valencia,1,1,Tie,0,"29,352",0
Spanish Soccer,8/23/2014,2015,Almería,Espanyol,1,1,Tie,0,"12,000",0
Spanish Soccer,8/24/2014,2015,Eibar,Real Sociedad,1,0,Home,1,"5,173",0
Spanish Soccer,8/24/2014,2015,Celta Vigo,Getafe,3,1,Home,1,"20,416",0
Spanish Soccer,8/24/2014,2015,Barcelona,Elche,3,0,Home,1,"68,105",0
Spanish Soccer,8/24/2014,2015,Levante,Villarreal,0,2,Away,0,"19,000",0
Spanish Soccer,8/25/2014,2015,Real Madrid,Córdoba,2,0,Home,1,"70,356",0
Spanish Soccer,8/25/2014,2015,Rayo Vallecano,Atlético Madrid,0,0,Tie,0,"11,070",0
Spanish Soccer,8/29/2014,2015,Getafe,Almería,1,0,Home,1,"6,000",0
Spanish Soccer,8/29/2014,2015,Valencia,Málaga,3,0,Home,1,"41,550",0
Spanish Soccer,8/30/2014,2015,Córdoba,Celta Vigo,1,1,Tie,0,"15,982",0
Spanish Soccer,8/30/2014,2015,Athletic Club,Levante,3,0,Home,1,"48,300",0
Spanish Soccer,8/30/2014,2015,Atlético Madrid,Eibar,2,1,Home,1,"48,000",0
Spanish Soccer,8/30/2014,2015,Espanyol,Sevilla,1,2,Away,0,"16,490",0
Spanish Soccer,8/31/2014,2015,Villarreal,Barcelona,0,1,Away,0,"21,200",0
Spanish Soccer,8/31/2014,2015,La Coruña,Rayo Vallecano,2,2,Tie,0,"18,054",0
Spanish Soccer,8/31/2014,2015,Real Sociedad,Real Madrid,4,2,Home,1,"27,879",0
Spanish Soccer,8/31/2014,2015,Elche,Granada,1,1,Tie,0,"20,025",0
Spanish Soccer,9/12/2014,2015,Almería,Córdoba,1,1,Tie,0,"10,682",0
Spanish Soccer,9/13/2014,2015,Barcelona,Athletic Club,2,0,Home,1,"80,181",0
Spanish Soccer,9/13/2014,2015,Málaga,Levante,0,0,Tie,0,"20,000",0
Spanish Soccer,9/13/2014,2015,Real Madrid,Atlético Madrid,1,2,Away,0,"85,253",0
Spanish Soccer,9/13/2014,2015,Celta Vigo,Real Sociedad,2,2,Tie,0,"19,385",0
Spanish Soccer,9/14/2014,2015,Rayo Vallecano,Elche,2,3,Away,0,"9,521",0
Spanish Soccer,9/14/2014,2015,Valencia,Espanyol,3,1,Home,1,"38,500",0
Spanish Soccer,9/14/2014,2015,Sevilla,Getafe,2,0,Home,1,"34,600",0
Spanish Soccer,9/14/2014,2015,Granada,Villarreal,0,0,Tie,0,"21,000",0
Spanish Soccer,9/15/2014,2015,Eibar,La Coruña,0,1,Away,0,"4,522",0
Spanish Soccer,9/19/2014,2015,Elche,Eibar,0,2,Away,0,"22,474",0
Spanish Soccer,9/20/2014,2015,La Coruña,Real Madrid,2,8,Away,0,"27,685",0
Spanish Soccer,9/20/2014,2015,Athletic Club,Granada,0,1,Away,0,"33,000",0
Spanish Soccer,9/20/2014,2015,Atlético Madrid,Celta Vigo,2,2,Tie,0,"47,000",0
Spanish Soccer,9/20/2014,2015,Espanyol,Málaga,2,2,Tie,0,"12,600",0
Spanish Soccer,9/21/2014,2015,Real Sociedad,Almería,1,2,Away,0,"18,000",0
Spanish Soccer,9/21/2014,2015,Villarreal,Rayo Vallecano,4,2,Home,1,"15,050",0
Spanish Soccer,9/21/2014,2015,Córdoba,Sevilla,1,3,Away,0,"17,023",0
Spanish Soccer,9/21/2014,2015,Levante,Barcelona,0,5,Away,0,"22,177",0
Spanish Soccer,9/22/2014,2015,Getafe,Valencia,0,3,Away,0,"6,000",0
Spanish Soccer,9/23/2014,2015,Real Madrid,Elche,5,1,Home,1,"63,634",0
Spanish Soccer,9/23/2014,2015,Celta Vigo,La Coruña,2,1,Home,1,"23,811",0
Spanish Soccer,9/24/2014,2015,Rayo Vallecano,Athletic Club,2,1,Home,1,"11,040",0
Spanish Soccer,9/24/2014,2015,Eibar,Villarreal,1,1,Tie,0,"4,231",0
Spanish Soccer,9/24/2014,2015,Almería,Atlético Madrid,0,1,Away,0,"11,863",0
Spanish Soccer,9/24/2014,2015,Granada,Levante,0,1,Away,0,"15,731",0
Spanish Soccer,9/24/2014,2015,Málaga,Barcelona,0,0,Tie,0,"24,820",0
Spanish Soccer,9/24/2014,2015,Sevilla,Real Sociedad,1,0,Home,1,"29,456",0
Spanish Soccer,9/25/2014,2015,Espanyol,Getafe,2,0,Home,1,"15,000",0
Spanish Soccer,9/25/2014,2015,Valencia,Córdoba,3,0,Home,1,"36,000",0
Spanish Soccer,9/26/2014,2015,Elche,Celta Vigo,0,1,Away,0,"20,852",0
Spanish Soccer,9/27/2014,2015,Villarreal,Real Madrid,0,2,Away,0,"22,146",0
Spanish Soccer,9/27/2014,2015,Barcelona,Granada,6,0,Home,1,"72,596",0
Spanish Soccer,9/27/2014,2015,Atlético Madrid,Sevilla,4,0,Home,1,"52,000",0
Spanish Soccer,9/27/2014,2015,Levante,Rayo Vallecano,0,2,Away,0,"18,000",0
Spanish Soccer,9/27/2014,2015,Athletic Club,Eibar,0,0,Tie,0,"45,000",0
Spanish Soccer,9/28/2014,2015,Getafe,Málaga,1,0,Home,1,"5,500",0
Spanish Soccer,9/28/2014,2015,La Coruña,Almería,0,1,Away,0,"18,000",0
Spanish Soccer,9/28/2014,2015,Real Sociedad,Valencia,1,1,Tie,0,"25,168",0
Spanish Soccer,9/28/2014,2015,Córdoba,Espanyol,0,0,Tie,0,"24,000",0
Spanish Soccer,10/3/2014,2015,Getafe,Córdoba,1,1,Tie,0,"9,000",0
Spanish Soccer,10/4/2014,2015,Valencia,Atlético Madrid,3,1,Home,1,"44,000",0
Spanish Soccer,10/4/2014,2015,Rayo Vallecano,Barcelona,0,2,Away,0,"14,070",0
